City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,san patricio,28.017,-97.5169,21.58,85,100,2.83,US,2024-2-10
114,homer,59.6425,-151.5483,3.93,85,100,2.68,US,2024-2-10
115,uturoa,-16.7333,-151.4333,27.81,84,100,13.29,PF,2024-2-10
116,iqaluit,63.7506,-68.5145,-30.73,67,40,0.0,CA,2024-2-10
117,gornopravdinsk,60.05,69.9,-10.4,91,100,3.62,RU,2024-2-10
118,aasiaat,68.7098,-52.8699,-13.68,82,100,4.36,GL,2024-2-10
119,bilibino,68.0546,166.4372,-25.76,94,55,3.56,RU,2024-2-10
120,enewetak,11.3474,162.3373,26.48,80,100,10.01,MH,2024-2-10
121,new norfolk,-42.7826,147.0587,16.72,49,0,2.67,AU,2024-2-10
122,smithers,54.7804,-127.1743,-3.82,86,100,1.54,CA,2024-2-10
123,rancho palos verdes,33.7445,-118.387,11.99,62,28,2.68,US,2024-2-10
124,ilulissat,69.2167,-51.1,-23.05,97,71,5.62,GL,2024-2-10
125,pithampur,22.602,75.6965,24.78,41,0,4.12,IN,2024-2-10
126,trincomalee,8.5711,81.2335,27.68,68,83,6.16,LK,2024-2-10
127,kone,-21.0595,164.8658,25.6,84,56,3.36,NC,2024-2-10
128,belyy yar,53.6039,91.3903,5.94,52,0,6.0,RU,2024-2-10
129,perugorria,-29.3413,-58.6106,23.69,90,82,1.52,AR,2024-2-10
130,santo antonio do ica,-3.1022,-67.9397,23.89,98,100,0.28,BR,2024-2-10
131,nemuro,43.3236,145.575,-3.25,75,100,3.02,JP,2024-2-10
132,petropavlovsk-kamchatsky,53.0452,158.6483,-16.97,91,19,3.58,RU,2024-2-10
133,st anne,49.715,-2.2042,9.09,87,20,4.63,GG,2024-2-10
134,mount isa,-20.7333,139.5,33.87,36,100,4.12,AU,2024-2-10
135,andalusia,31.3085,-86.4833,17.92,95,100,0.0,US,2024-2-10
136,neya,58.2972,43.8681,-13.7,94,98,1.1,RU,2024-2-10
137,trairi,-3.2778,-39.2689,24.37,95,100,2.38,BR,2024-2-10
138,kapuskasing,49.4169,-82.4331,1.05,100,100,4.63,CA,2024-2-10
139,meadow lake,34.8014,-106.5436,4.0,52,100,2.44,US,2024-2-10
140,rikaze,29.25,88.8833,2.7,15,0,2.42,CN,2024-2-10
141,touros,-5.1989,-35.4608,27.63,79,19,8.32,BR,2024-2-10
142,tibu,8.639,-72.7358,22.0,97,100,0.52,CO,2024-2-10
143,dobroye,52.8678,39.8109,-11.8,92,80,1.32,RU,2024-2-10
144,san juan del rio,20.3833,-100.0,10.96,38,8,2.65,MX,2024-2-10
145,chul'man,56.8479,124.9104,-20.11,97,99,0.8,RU,2024-2-10
146,gadzhiyevo,69.2551,33.3362,-13.97,89,100,2.86,RU,2024-2-10
147,callao,-12.0667,-77.15,24.84,83,20,4.12,PE,2024-2-10
148,lobujya,27.95,86.8167,-9.26,50,1,3.73,NP,2024-2-10
149,nouadhibou,20.931,-17.0347,18.99,88,20,8.23,MR,2024-2-10
150,revda,56.801,59.9303,-16.73,92,100,5.6,RU,2024-2-10
151,stanley,54.868,-1.6985,4.87,93,100,1.54,GB,2024-2-10
152,newala kisimani,-10.95,39.2833,25.21,82,100,1.45,TZ,2024-2-10
153,banda aceh,5.5577,95.3222,31.39,58,88,3.95,ID,2024-2-10
154,badger,64.8,-147.5333,-11.05,87,75,0.0,US,2024-2-10
155,matozinhos,-19.5578,-44.0814,20.73,88,20,3.6,BR,2024-2-10
156,puttalam,8.0362,79.8283,29.92,60,15,5.36,LK,2024-2-10
